theme_id,theme_name
1,Marco xeográfico das civilizacións grega e romana
2,"Marco histórico da civilización grega: das civilizacións minoica e micénica ao mundo helenístico. Etapas, feitos importantes e mulleres e homes relevantes"
3,"Marco histórico da civilización romana: monarquía, república e imperio. Etapas, feitos importantes e mulleres e homes relevantes"
4,Cosmogonía. Teogonía. O panteón grego e romano
5,"Mitos grecolatinos. Orixes e funcións. Os heroes e heroínas. Perduración da mitoloxía nas manifestacións artísticas, literarias e na publicidade"
6,"Relixión grega: cultos, santuarios e oráculos"
7,Relixión romana: culto público e privado
8,Fundamentos e etapas da arte clásica
9,Arquitectura en Grecia e Roma: tipos de edificios e ordes arquitectónicas
10,"Escultura en Grecia e Roma: etapas, estilos e temáticas"
11,Enxeñaría romana: obras públicas e urbanismo. Vías romanas
12,Herdanza clásica no patrimonio artístico en Europa en xeral e en Galicia en concreto
13,Organización política en Grecia e en Roma: formas de goberno e institucións
14,Sociedade en Grecia e Roma: clases sociais. A escravitude
15,A familia en Grecia e Roma. Roles dos seus membros; situación da muller
16,"Vida cotiá en Grecia e Roma: vivenda, hixiene, alimentación, vestimenta e traballo"
17,Os espectáculos públicos en Grecia e Roma
18,"Historia da escritura. Tipos de escritura, materiais e soportes"
19,Orixe do alfabeto. O alfabeto grego e o abecedario latino
20,As linguas do mundo. O indoeuropeo e as súas familias lingüísticas
21,As linguas romances
22,Composición e derivación culta de orixe grega e latina
23,"Latinismos, palabras patrimoniais, cultismos e semicultismos"
24,Principais regras de evolución fonética do latín ao galego e ao castelán
25,Léxico grecolatino na linguaxe común e na científica e técnica
26,Presenza das linguas clásicas nas linguas modernas
27,Xéneros literarios grecolatinos: autores e obras principais
28,"Fórmulas básicas de saúdo e presentación en latín e grego, e fraseoloxía básica do medio escolar"
29,Presenza da civilización grecolatina nas artes e na organización social e política actual
30,Mitoloxía e temas lendarios nas manifestacións artísticas actuais
31,Historia de Grecia e Roma e a súa presenza no noso país. A presenza de Grecia e Roma na Península Ibérica. A romanización de Hispania e da Gallaecia
32,Investigación sobre a perduración da civilización clásica na nosa cultura
